year,haul_date,species,fmp_area,extrapolated_weight
2017,2017-05-06T08:00:00Z,307,GOA,16
2017,2017-05-08T08:00:00Z,307,GOA,NA
2017,2017-03-24T08:00:00Z,307,GOA,15
2017,2017-03-24T08:00:00Z,307,GOA,NA
2017,2017-03-25T08:00:00Z,307,GOA,NA
2017,2017-03-25T08:00:00Z,307,GOA,132.37
2017,2017-05-06T08:00:00Z,307,GOA,NA
2017,2017-05-06T08:00:00Z,307,GOA,NA
2017,2017-08-07T08:00:00Z,307,GOA,22.37
2017,2017-05-05T08:00:00Z,307,GOA,23.83
2017,2017-08-19T08:00:00Z,307,GOA,12.56
2017,2017-08-25T08:00:00Z,307,GOA,6.86
2017,2017-08-26T08:00:00Z,307,GOA,106.39
2017,2017-08-27T08:00:00Z,307,GOA,308.27
2017,2017-08-27T08:00:00Z,307,GOA,88.77
2017,2017-08-27T08:00:00Z,307,GOA,1108.49
2017,2017-08-28T08:00:00Z,307,GOA,95.57
2017,2017-08-28T08:00:00Z,307,GOA,19.89
2017,2017-08-28T08:00:00Z,307,GOA,45.55
2017,2017-08-28T08:00:00Z,307,GOA,277.3
2017,2017-08-01T08:00:00Z,307,GOA,770.4
2017,2017-08-01T08:00:00Z,307,GOA,35.09
2017,2017-08-01T08:00:00Z,307,GOA,108.78
2017,2017-08-01T08:00:00Z,307,GOA,5.25
2017,2017-08-02T08:00:00Z,307,GOA,69.93
2017,2017-08-02T08:00:00Z,307,GOA,10.45
2017,2017-08-03T08:00:00Z,307,GOA,106.87
2017,2017-08-03T08:00:00Z,307,GOA,1845.67
2017,2017-08-03T08:00:00Z,307,GOA,967.12
2017,2017-08-05T08:00:00Z,307,GOA,23.48
2017,2017-08-12T08:00:00Z,307,GOA,19.19
2017,2017-08-13T08:00:00Z,307,GOA,11.38
2017,2017-07-19T08:00:00Z,307,GOA,269.04
2017,2017-07-20T08:00:00Z,307,GOA,3218.77
2017,2017-07-20T08:00:00Z,307,GOA,4398.74
2017,2017-09-30T08:00:00Z,307,GOA,118.54
2017,2017-10-02T08:00:00Z,307,GOA,42.06
2017,2017-07-24T08:00:00Z,307,GOA,4036.28
2017,2017-10-04T08:00:00Z,307,GOA,47.58
2017,2017-10-07T08:00:00Z,307,GOA,39.02
2017,2017-04-29T08:00:00Z,307,GOA,11.4
2017,2017-10-03T08:00:00Z,307,GOA,19.2
2017,2017-10-04T08:00:00Z,307,GOA,NA
2017,2017-05-31T08:00:00Z,307,GOA,6
2017,2017-03-18T08:00:00Z,307,GOA,NA
2017,2017-03-18T08:00:00Z,307,GOA,NA
2017,2017-02-01T09:00:00Z,307,GOA,12.6
2017,2017-02-01T09:00:00Z,307,GOA,9
2017,2017-02-01T09:00:00Z,307,GOA,8.4
2017,2017-02-01T09:00:00Z,307,GOA,44.74
2017,2017-02-02T09:00:00Z,307,GOA,29.7
2017,2017-02-03T09:00:00Z,307,GOA,19.2
2017,2017-03-19T08:00:00Z,307,GOA,NA
2017,2017-03-24T08:00:00Z,307,GOA,NA
2017,2017-03-24T08:00:00Z,307,GOA,NA
2017,2017-03-24T08:00:00Z,307,GOA,NA
2017,2017-03-25T08:00:00Z,307,GOA,NA
2017,2017-03-26T08:00:00Z,307,GOA,NA
2017,2017-01-31T09:00:00Z,307,GOA,NA
2017,2017-03-27T08:00:00Z,307,GOA,NA
2017,2017-02-02T09:00:00Z,307,GOA,NA
2017,2017-02-03T09:00:00Z,307,GOA,18
2017,2017-04-01T08:00:00Z,307,GOA,9
2017,2017-08-22T08:00:00Z,307,GOA,NA
2017,2017-11-03T08:00:00Z,307,GOA,NA
2017,2017-11-03T08:00:00Z,307,GOA,40.5
2017,2017-11-04T08:00:00Z,307,GOA,149.6
2017,2017-11-04T08:00:00Z,307,GOA,25.2
2017,2017-11-04T08:00:00Z,307,GOA,28.33
2017,2017-11-05T08:00:00Z,307,GOA,120.75
2017,2017-11-05T08:00:00Z,307,GOA,168.78
2017,2017-06-28T08:00:00Z,307,GOA,NA
2017,2017-10-29T08:00:00Z,307,GOA,NA
2017,2017-10-29T08:00:00Z,307,GOA,NA
2017,2017-03-29T08:00:00Z,307,GOA,NA
2017,2017-03-30T08:00:00Z,307,GOA,NA
2017,2017-09-25T08:00:00Z,307,GOA,NA
2017,2017-09-25T08:00:00Z,307,GOA,NA
2017,2017-09-26T08:00:00Z,307,GOA,NA
2017,2017-08-17T08:00:00Z,307,GOA,7.43
2017,2017-04-19T08:00:00Z,307,GOA,90.01
2017,2017-07-27T08:00:00Z,307,GOA,NA
2017,2017-07-28T08:00:00Z,307,GOA,NA
2017,2017-07-29T08:00:00Z,307,GOA,16
2017,2017-07-29T08:00:00Z,307,GOA,NA
2017,2017-07-31T08:00:00Z,307,GOA,NA
2017,2017-07-31T08:00:00Z,307,GOA,NA
2017,2017-08-01T08:00:00Z,307,GOA,NA
2017,2017-08-01T08:00:00Z,307,GOA,NA
2017,2017-08-01T08:00:00Z,307,GOA,NA
2017,2017-08-02T08:00:00Z,307,GOA,NA
2017,2017-08-02T08:00:00Z,307,GOA,334.8
2017,2017-08-02T08:00:00Z,307,GOA,69.7
2017,2017-08-03T08:00:00Z,307,GOA,NA
2017,2017-07-10T08:00:00Z,307,GOA,199.18
2017,2017-07-10T08:00:00Z,307,GOA,169.52
2017,2017-07-10T08:00:00Z,307,GOA,468.55
2017,2017-07-10T08:00:00Z,307,GOA,129.22
2017,2017-07-11T08:00:00Z,307,GOA,1106.87
2017,2017-07-11T08:00:00Z,307,GOA,596.71
2017,2017-07-11T08:00:00Z,307,GOA,66.78
2017,2017-07-12T08:00:00Z,307,GOA,61.9
2017,2017-07-12T08:00:00Z,307,GOA,19.66
2017,2017-03-14T08:00:00Z,307,GOA,NA
2017,2017-03-16T08:00:00Z,307,GOA,NA
2017,2017-03-17T08:00:00Z,307,GOA,14.4
2017,2017-03-17T08:00:00Z,307,GOA,158.34
2017,2017-03-18T08:00:00Z,307,GOA,NA
2017,2017-03-18T08:00:00Z,307,GOA,NA
2017,2017-03-20T08:00:00Z,307,GOA,NA
2017,2017-03-21T08:00:00Z,307,GOA,NA
2017,2017-03-22T08:00:00Z,307,GOA,14.7
2017,2017-04-04T08:00:00Z,307,GOA,19.41
2017,2017-04-11T08:00:00Z,307,GOA,NA
2017,2017-04-12T08:00:00Z,307,GOA,NA
2018,2018-08-28T08:00:00Z,307,GOA,291.12
2018,2018-08-28T08:00:00Z,307,GOA,228.29
2018,2018-07-05T08:00:00Z,307,GOA,2288.27
2018,2018-07-05T08:00:00Z,307,GOA,921.53
2018,2018-08-23T08:00:00Z,307,GOA,30.21
2018,2018-08-23T08:00:00Z,307,GOA,332.79
2018,2018-08-23T08:00:00Z,307,GOA,212.22
2018,2018-08-23T08:00:00Z,307,GOA,500.77
2018,2018-08-27T08:00:00Z,307,GOA,608.49
2018,2018-08-27T08:00:00Z,307,GOA,248.28
2018,2018-08-27T08:00:00Z,307,GOA,396.93
2018,2018-08-27T08:00:00Z,307,GOA,305.09
2018,2018-08-28T08:00:00Z,307,GOA,246.74
2018,2018-08-28T08:00:00Z,307,GOA,64.2
2018,2018-05-30T08:00:00Z,307,GOA,6.4
2018,2018-05-31T08:00:00Z,307,GOA,NA
2018,2018-11-03T08:00:00Z,307,GOA,505.92
2018,2018-11-03T08:00:00Z,307,GOA,989.1
2018,2018-11-04T08:00:00Z,307,GOA,187.35
2018,2018-11-05T09:00:00Z,307,GOA,1269.46
2018,2018-03-25T08:00:00Z,307,GOA,7.2
2018,2018-03-25T08:00:00Z,307,GOA,8.4
2018,2018-03-25T08:00:00Z,307,GOA,NA
2018,2018-05-29T08:00:00Z,307,GOA,NA
2018,2018-05-30T08:00:00Z,307,GOA,NA
2018,2018-05-30T08:00:00Z,307,GOA,NA
2018,2018-05-31T08:00:00Z,307,GOA,NA
2018,2018-04-05T08:00:00Z,307,GOA,NA
2018,2018-04-08T08:00:00Z,307,GOA,NA
2018,2018-04-08T08:00:00Z,307,GOA,11.5
2018,2018-04-09T08:00:00Z,307,GOA,NA
2018,2018-05-29T08:00:00Z,307,GOA,8.4
2018,2018-04-06T08:00:00Z,307,GOA,14.4
2018,2018-05-29T08:00:00Z,307,GOA,33.6
2018,2018-04-08T08:00:00Z,307,GOA,144
2018,2018-04-08T08:00:00Z,307,GOA,38
2018,2018-04-08T08:00:00Z,307,GOA,NA
2018,2018-03-30T08:00:00Z,307,GOA,NA
2018,2018-03-30T08:00:00Z,307,GOA,NA
2018,2018-04-01T08:00:00Z,307,GOA,8.9
2018,2018-04-01T08:00:00Z,307,GOA,NA
2018,2018-04-02T08:00:00Z,307,GOA,NA
2018,2018-04-03T08:00:00Z,307,GOA,NA
2018,2018-03-29T08:00:00Z,307,GOA,NA
2018,2018-03-29T08:00:00Z,307,GOA,NA
2018,2018-04-06T08:00:00Z,307,GOA,5.04
2018,2018-04-07T08:00:00Z,307,GOA,NA
2018,2018-04-07T08:00:00Z,307,GOA,NA
2018,2018-06-02T08:00:00Z,307,GOA,NA
2018,2018-05-28T08:00:00Z,307,GOA,NA
2018,2018-11-04T08:00:00Z,307,GOA,38.76
2018,2018-04-03T08:00:00Z,307,GOA,50.7
2018,2018-11-14T09:00:00Z,307,GOA,NA
2018,2018-11-14T09:00:00Z,307,GOA,3.6
2018,2018-11-14T09:00:00Z,307,GOA,1.6
2018,2018-07-25T08:00:00Z,307,GOA,32
2018,2018-07-25T08:00:00Z,307,GOA,12
2018,2018-07-27T08:00:00Z,307,GOA,38.48
2018,2018-03-28T08:00:00Z,307,GOA,NA
2018,2018-03-28T08:00:00Z,307,GOA,NA
2018,2018-04-25T08:00:00Z,307,GOA,NA
2018,2018-04-25T08:00:00Z,307,GOA,NA
2018,2018-05-05T08:00:00Z,307,GOA,NA
2018,2018-05-05T08:00:00Z,307,GOA,NA
2018,2018-05-25T08:00:00Z,307,GOA,NA
2018,2018-06-13T08:00:00Z,307,GOA,23.47
2018,2018-04-18T08:00:00Z,307,GOA,18
2018,2018-05-26T08:00:00Z,307,GOA,160.49
2018,2018-06-01T08:00:00Z,307,GOA,57.53
2018,2018-06-03T08:00:00Z,307,GOA,79.26
2018,2018-06-08T08:00:00Z,307,GOA,107.16
2018,2018-06-12T08:00:00Z,307,GOA,54.89
2018,2018-06-12T08:00:00Z,307,GOA,81.77
2018,2018-06-14T08:00:00Z,307,GOA,71.15
2018,2018-05-14T08:00:00Z,307,GOA,22.73
2018,2018-05-15T08:00:00Z,307,GOA,27.45
2018,2018-04-25T08:00:00Z,307,GOA,NA
2018,2018-04-26T08:00:00Z,307,GOA,14.3
2018,2018-03-29T08:00:00Z,307,GOA,26
2018,2018-04-28T08:00:00Z,307,GOA,23.76
2018,2018-03-29T08:00:00Z,307,GOA,22.53
2018,2018-03-29T08:00:00Z,307,GOA,14.4
2018,2018-04-29T08:00:00Z,307,GOA,NA
2018,2018-04-29T08:00:00Z,307,GOA,12.6
2018,2018-04-29T08:00:00Z,307,GOA,92.63
2018,2018-04-30T08:00:00Z,307,GOA,469.03
2018,2018-05-01T08:00:00Z,307,GOA,53.9
2018,2018-05-01T08:00:00Z,307,GOA,87
2018,2018-11-05T09:00:00Z,307,GOA,707
2018,2018-11-05T09:00:00Z,307,GOA,2253.08
2018,2018-03-30T08:00:00Z,307,GOA,37.6
2018,2018-03-30T08:00:00Z,307,GOA,15.6
2018,2018-03-31T08:00:00Z,307,GOA,27.6
2018,2018-03-31T08:00:00Z,307,GOA,NA
2018,2018-03-31T08:00:00Z,307,GOA,19.8
2018,2018-04-01T08:00:00Z,307,GOA,33.6
2018,2018-04-01T08:00:00Z,307,GOA,40
2018,2018-04-02T08:00:00Z,307,GOA,11.4
2018,2018-11-06T09:00:00Z,307,GOA,112.15
2018,2018-04-28T08:00:00Z,307,GOA,31.5
2018,2018-04-29T08:00:00Z,307,GOA,11
2018,2018-05-19T08:00:00Z,307,GOA,50.01
2018,2018-03-28T08:00:00Z,307,GOA,9.3
2018,2018-03-28T08:00:00Z,307,GOA,16.8
2018,2018-03-29T08:00:00Z,307,GOA,NA
2018,2018-03-29T08:00:00Z,307,GOA,40.12
2018,2018-03-29T08:00:00Z,307,GOA,61.6
2018,2018-11-07T09:00:00Z,307,GOA,2438.8
2018,2018-10-06T08:00:00Z,307,GOA,NA
2018,2018-09-17T08:00:00Z,307,GOA,150.68
2018,2018-09-17T08:00:00Z,307,GOA,1242.51
2018,2018-09-17T08:00:00Z,307,GOA,686.4
2018,2018-09-17T08:00:00Z,307,GOA,230.62
2018,2018-09-18T08:00:00Z,307,GOA,233.6
2018,2018-09-19T08:00:00Z,307,GOA,37.4
2018,2018-09-19T08:00:00Z,307,GOA,93.37
2018,2018-09-20T08:00:00Z,307,GOA,115.73
2018,2018-09-20T08:00:00Z,307,GOA,217.61
2018,2018-09-20T08:00:00Z,307,GOA,330.34
2018,2018-09-20T08:00:00Z,307,GOA,30.34
2018,2018-09-20T08:00:00Z,307,GOA,44.44
2018,2018-09-17T08:00:00Z,307,GOA,162
2018,2018-09-05T08:00:00Z,307,GOA,10.8
2018,2018-03-01T09:00:00Z,307,GOA,125.4
2018,2018-09-07T08:00:00Z,307,GOA,19.27
2018,2018-09-05T08:00:00Z,307,GOA,249.78
2018,2018-05-07T08:00:00Z,307,GOA,NA
2018,2018-10-11T08:00:00Z,307,GOA,5.4
2018,2018-10-11T08:00:00Z,307,GOA,7.2
2018,2018-08-16T08:00:00Z,307,GOA,NA
2018,2018-03-25T08:00:00Z,307,GOA,134.4
2018,2018-03-25T08:00:00Z,307,GOA,46.8
2018,2018-04-26T08:00:00Z,307,GOA,20.9
2018,2018-04-27T08:00:00Z,307,GOA,NA
2018,2018-04-27T08:00:00Z,307,GOA,NA
2018,2018-04-21T08:00:00Z,307,GOA,9.6
2018,2018-04-21T08:00:00Z,307,GOA,10.8
2018,2018-04-29T08:00:00Z,307,GOA,4.2
2018,2018-10-31T08:00:00Z,307,GOA,11.7
2018,2018-05-01T08:00:00Z,307,GOA,27.05
2018,2018-05-01T08:00:00Z,307,GOA,NA
2018,2018-05-02T08:00:00Z,307,GOA,10.8
2018,2018-03-25T08:00:00Z,307,GOA,96.67
2018,2018-03-26T08:00:00Z,307,GOA,22.4
2018,2018-06-27T08:00:00Z,307,GOA,942.28
2018,2018-06-27T08:00:00Z,307,GOA,1486.12
2018,2018-06-28T08:00:00Z,307,GOA,1807.98
2018,2018-06-04T08:00:00Z,307,GOA,19
2018,2018-07-14T08:00:00Z,307,GOA,275.52
2018,2018-07-13T08:00:00Z,307,GOA,136.66
2018,2018-07-13T08:00:00Z,307,GOA,1007.75
2018,2018-06-20T08:00:00Z,307,GOA,688.54
2018,2018-06-21T08:00:00Z,307,GOA,647.73
2018,2018-07-11T08:00:00Z,307,GOA,1561
2018,2018-07-11T08:00:00Z,307,GOA,567.22
2018,2018-07-11T08:00:00Z,307,GOA,581.56
2018,2018-07-11T08:00:00Z,307,GOA,258.35
2018,2018-07-11T08:00:00Z,307,GOA,681.47
2018,2018-07-11T08:00:00Z,307,GOA,703.46
2018,2018-07-12T08:00:00Z,307,GOA,292.88
2018,2018-07-12T08:00:00Z,307,GOA,161.67
2018,2018-07-12T08:00:00Z,307,GOA,590.86
2018,2018-07-12T08:00:00Z,307,GOA,390.76
2018,2018-07-12T08:00:00Z,307,GOA,140.13
2018,2018-07-12T08:00:00Z,307,GOA,33.09
2018,2018-07-13T08:00:00Z,307,GOA,259.71
2018,2018-07-05T08:00:00Z,307,GOA,58.35
2018,2018-06-21T08:00:00Z,307,GOA,113.23
2018,2018-06-21T08:00:00Z,307,GOA,96.39
2018,2018-07-13T08:00:00Z,307,GOA,650.39
2018,2018-07-14T08:00:00Z,307,GOA,1143.4
2018,2018-07-14T08:00:00Z,307,GOA,327.49
2018,2018-06-21T08:00:00Z,307,GOA,219.55
2018,2018-06-22T08:00:00Z,307,GOA,117.75
2018,2018-06-22T08:00:00Z,307,GOA,143.75
2018,2018-07-10T08:00:00Z,307,GOA,1205.58
2018,2018-07-10T08:00:00Z,307,GOA,126.49
2018,2018-07-10T08:00:00Z,307,GOA,905.75
2018,2018-04-27T08:00:00Z,307,GOA,NA
2018,2018-04-27T08:00:00Z,307,GOA,NA
2018,2018-06-26T08:00:00Z,307,GOA,215.68
2018,2018-06-26T08:00:00Z,307,GOA,349.39
2018,2018-06-14T08:00:00Z,307,GOA,NA
2018,2018-06-14T08:00:00Z,307,GOA,NA
2018,2018-09-20T08:00:00Z,307,GOA,32.32
2018,2018-09-20T08:00:00Z,307,GOA,10.8
2018,2018-09-20T08:00:00Z,307,GOA,10.2
2018,2018-09-21T08:00:00Z,307,GOA,NA
2018,2018-09-22T08:00:00Z,307,GOA,NA
2018,2018-09-22T08:00:00Z,307,GOA,5.08
2018,2018-09-22T08:00:00Z,307,GOA,NA
2018,2018-09-23T08:00:00Z,307,GOA,9.12
2018,2018-09-23T08:00:00Z,307,GOA,NA
2018,2018-06-21T08:00:00Z,307,GOA,188.44
2018,2018-06-28T08:00:00Z,307,GOA,1384.87
2018,2018-06-28T08:00:00Z,307,GOA,519.66
2018,2018-06-23T08:00:00Z,307,GOA,18
2018,2018-04-23T08:00:00Z,307,GOA,194.56
2018,2018-04-23T08:00:00Z,307,GOA,99.16
2018,2018-06-28T08:00:00Z,307,GOA,331.39
2018,2018-06-29T08:00:00Z,307,GOA,522.11
2018,2018-06-29T08:00:00Z,307,GOA,24.14
2018,2018-06-29T08:00:00Z,307,GOA,29.31
2018,2018-06-29T08:00:00Z,307,GOA,77.07
2018,2018-06-29T08:00:00Z,307,GOA,416.53
2018,2018-06-28T08:00:00Z,307,GOA,2391.2
2018,2018-06-28T08:00:00Z,307,GOA,1195.35
2018,2018-06-28T08:00:00Z,307,GOA,2453.46
2018,2018-04-24T08:00:00Z,307,GOA,NA
2018,2018-04-25T08:00:00Z,307,GOA,NA
2018,2018-04-25T08:00:00Z,307,GOA,8
2018,2018-05-16T08:00:00Z,307,GOA,NA
2018,2018-04-07T08:00:00Z,307,GOA,88.93
2018,2018-06-15T08:00:00Z,307,GOA,NA
2018,2018-06-15T08:00:00Z,307,GOA,NA
2018,2018-04-07T08:00:00Z,307,GOA,63.3
2018,2018-06-14T08:00:00Z,307,GOA,31.29
2018,2018-06-14T08:00:00Z,307,GOA,60.77
2018,2018-07-02T08:00:00Z,307,GOA,132.64
2018,2018-07-03T08:00:00Z,307,GOA,107.61
2018,2018-04-26T08:00:00Z,307,GOA,NA
2018,2018-06-26T08:00:00Z,307,GOA,1755.9
2018,2018-06-27T08:00:00Z,307,GOA,414.36
2018,2018-06-27T08:00:00Z,307,GOA,385.5
2018,2018-06-27T08:00:00Z,307,GOA,327.65
2018,2018-09-10T08:00:00Z,307,GOA,NA
2018,2018-09-08T08:00:00Z,307,GOA,4.8
2018,2018-04-21T08:00:00Z,307,GOA,NA
2018,2018-04-21T08:00:00Z,307,GOA,NA
2018,2018-04-21T08:00:00Z,307,GOA,NA
2018,2018-05-14T08:00:00Z,307,GOA,1665.29
2018,2018-04-28T08:00:00Z,307,GOA,17.4
2018,2018-06-11T08:00:00Z,307,GOA,NA
2018,2018-06-12T08:00:00Z,307,GOA,13.56
2018,2018-06-12T08:00:00Z,307,GOA,NA
2018,2018-06-13T08:00:00Z,307,GOA,962.51
2018,2018-05-30T08:00:00Z,307,GOA,NA
2018,2018-09-25T08:00:00Z,307,GOA,NA
2018,2018-09-27T08:00:00Z,307,GOA,NA
2018,2018-09-27T08:00:00Z,307,GOA,NA
2018,2018-05-15T08:00:00Z,307,GOA,NA
2018,2018-05-16T08:00:00Z,307,GOA,1129.24
2018,2018-05-16T08:00:00Z,307,GOA,289.87
2018,2018-05-16T08:00:00Z,307,GOA,829.44
2018,2018-05-17T08:00:00Z,307,GOA,15.07
2018,2018-05-18T08:00:00Z,307,GOA,5.76
2018,2018-05-18T08:00:00Z,307,GOA,12.4
2018,2018-05-30T08:00:00Z,307,GOA,NA
2018,2018-06-03T08:00:00Z,307,GOA,56.27
2018,2018-06-03T08:00:00Z,307,GOA,NA
2018,2018-07-21T08:00:00Z,307,GOA,150.12
2018,2018-07-21T08:00:00Z,307,GOA,11.82
2018,2018-07-20T08:00:00Z,307,GOA,1205.25
2018,2018-07-21T08:00:00Z,307,GOA,224.15
2018,2018-07-16T08:00:00Z,307,GOA,11.56
2018,2018-07-16T08:00:00Z,307,GOA,53.27
2018,2018-07-18T08:00:00Z,307,GOA,475.22
2018,2018-07-18T08:00:00Z,307,GOA,743.2
2018,2018-07-18T08:00:00Z,307,GOA,529.24
2018,2018-07-19T08:00:00Z,307,GOA,1302.77
2018,2018-07-19T08:00:00Z,307,GOA,1304.92
2018,2018-07-19T08:00:00Z,307,GOA,1047.75
2018,2018-07-19T08:00:00Z,307,GOA,1895.29
2018,2018-07-15T08:00:00Z,307,GOA,756.71
2018,2018-07-15T08:00:00Z,307,GOA,110.5
2018,2018-07-15T08:00:00Z,307,GOA,386.4
2018,2018-07-15T08:00:00Z,307,GOA,411.28
2018,2018-07-16T08:00:00Z,307,GOA,294.45
2018,2018-07-16T08:00:00Z,307,GOA,211.78
2018,2018-07-16T08:00:00Z,307,GOA,627.84
2018,2018-07-16T08:00:00Z,307,GOA,1125.59
2018,2018-09-12T08:00:00Z,307,GOA,NA
2018,2018-09-12T08:00:00Z,307,GOA,NA
2018,2018-09-13T08:00:00Z,307,GOA,NA
2018,2018-09-11T08:00:00Z,307,GOA,434.01
2018,2018-09-12T08:00:00Z,307,GOA,NA
2018,2018-05-03T08:00:00Z,307,GOA,NA
2018,2018-09-18T08:00:00Z,307,GOA,140.29
2018,2018-04-28T08:00:00Z,307,GOA,NA
2018,2018-04-29T08:00:00Z,307,GOA,7.6
2018,2018-06-01T08:00:00Z,307,GOA,41.65
2018,2018-05-13T08:00:00Z,307,GOA,NA
2018,2018-05-13T08:00:00Z,307,GOA,NA
2018,2018-06-15T08:00:00Z,307,GOA,138.08
2018,2018-06-15T08:00:00Z,307,GOA,NA
2018,2018-06-15T08:00:00Z,307,GOA,NA
2018,2018-06-15T08:00:00Z,307,GOA,341.5
2018,2018-06-16T08:00:00Z,307,GOA,1425.62
2018,2018-06-16T08:00:00Z,307,GOA,967.5
2018,2018-06-17T08:00:00Z,307,GOA,36.2
2018,2018-06-17T08:00:00Z,307,GOA,368.48
2018,2018-06-17T08:00:00Z,307,GOA,1328.15
2018,2018-06-18T08:00:00Z,307,GOA,304.08
2018,2018-06-19T08:00:00Z,307,GOA,197.78
2018,2018-06-19T08:00:00Z,307,GOA,248.22
2018,2018-06-20T08:00:00Z,307,GOA,109.96
2018,2018-06-21T08:00:00Z,307,GOA,66.9
2018,2018-05-13T08:00:00Z,307,GOA,NA
2018,2018-05-21T08:00:00Z,307,GOA,NA
2018,2018-05-22T08:00:00Z,307,GOA,10.38
2018,2018-05-23T08:00:00Z,307,GOA,NA
2018,2018-05-23T08:00:00Z,307,GOA,4.96
2018,2018-05-24T08:00:00Z,307,GOA,12.96
2018,2018-05-24T08:00:00Z,307,GOA,100.1
2018,2018-05-24T08:00:00Z,307,GOA,160.64
2018,2018-05-25T08:00:00Z,307,GOA,NA
2018,2018-05-25T08:00:00Z,307,GOA,62.44
2018,2018-05-26T08:00:00Z,307,GOA,313.54
2018,2018-05-27T08:00:00Z,307,GOA,22.56
2018,2018-05-28T08:00:00Z,307,GOA,8.65
2018,2018-05-28T08:00:00Z,307,GOA,22.01
2018,2018-05-29T08:00:00Z,307,GOA,8.58
2018,2018-09-06T08:00:00Z,307,GOA,10.2
2018,2018-09-07T08:00:00Z,307,GOA,NA
2018,2018-09-07T08:00:00Z,307,GOA,NA
2018,2018-09-07T08:00:00Z,307,GOA,NA
2018,2018-02-07T09:00:00Z,307,GOA,NA
2018,2018-06-04T08:00:00Z,307,GOA,481.91
2018,2018-06-04T08:00:00Z,307,GOA,NA
2018,2018-06-04T08:00:00Z,307,GOA,NA
2018,2018-06-05T08:00:00Z,307,GOA,NA
2018,2018-06-07T08:00:00Z,307,GOA,NA
2018,2018-04-08T08:00:00Z,307,GOA,13.2
2018,2018-04-08T08:00:00Z,307,GOA,10.8
2018,2018-04-08T08:00:00Z,307,GOA,9.6
2018,2018-04-16T08:00:00Z,307,GOA,14.4
2018,2018-09-14T08:00:00Z,307,GOA,137.48
2018,2018-09-15T08:00:00Z,307,GOA,87.3
2018,2018-09-16T08:00:00Z,307,GOA,NA
2018,2018-09-17T08:00:00Z,307,GOA,6.36
2018,2018-09-18T08:00:00Z,307,GOA,63.36
2018,2018-05-06T08:00:00Z,307,GOA,NA
2018,2018-05-07T08:00:00Z,307,GOA,15
2018,2018-05-07T08:00:00Z,307,GOA,NA
2018,2018-05-09T08:00:00Z,307,GOA,16.8
2018,2018-06-02T08:00:00Z,307,GOA,60.44
2018,2018-08-16T08:00:00Z,307,GOA,NA
2018,2018-08-17T08:00:00Z,307,GOA,NA
2018,2018-07-04T08:00:00Z,307,GOA,NA
2018,2018-06-21T08:00:00Z,307,GOA,71.65
2018,2018-08-16T08:00:00Z,307,GOA,NA
2018,2018-08-21T08:00:00Z,307,GOA,NA
2018,2018-09-07T08:00:00Z,307,GOA,NA
2018,2018-09-08T08:00:00Z,307,GOA,NA
2018,2018-09-08T08:00:00Z,307,GOA,NA
2018,2018-09-07T08:00:00Z,307,GOA,NA
2018,2018-03-30T08:00:00Z,307,GOA,NA
2018,2018-03-30T08:00:00Z,307,GOA,NA
2018,2018-03-31T08:00:00Z,307,GOA,NA
2018,2018-03-31T08:00:00Z,307,GOA,NA
2018,2018-09-02T08:00:00Z,307,GOA,31
2018,2018-09-02T08:00:00Z,307,GOA,140.16
2018,2018-09-03T08:00:00Z,307,GOA,49.78
2018,2018-09-03T08:00:00Z,307,GOA,34.26
2018,2018-10-31T08:00:00Z,307,GOA,1.8
2018,2018-09-20T08:00:00Z,307,GOA,NA
2018,2018-09-20T08:00:00Z,307,GOA,298.3
2018,2018-09-21T08:00:00Z,307,GOA,86.77
2018,2018-09-22T08:00:00Z,307,GOA,115.04
2018,2018-09-22T08:00:00Z,307,GOA,NA
2018,2018-10-28T08:00:00Z,307,GOA,NA
2018,2018-10-29T08:00:00Z,307,GOA,NA
2018,2018-09-20T08:00:00Z,307,GOA,NA
2018,2018-10-30T08:00:00Z,307,GOA,141.22
2018,2018-10-31T08:00:00Z,307,GOA,77.17
2018,2018-04-05T08:00:00Z,307,GOA,35.29
2018,2018-06-17T08:00:00Z,307,GOA,472.44
2018,2018-03-06T09:00:00Z,307,GOA,NA
2018,2018-03-07T09:00:00Z,307,GOA,6.23
2018,2018-05-13T08:00:00Z,307,GOA,NA
2018,2018-05-14T08:00:00Z,307,GOA,4.2
2018,2018-05-14T08:00:00Z,307,GOA,19.72
2018,2018-05-17T08:00:00Z,307,GOA,23.25
2018,2018-04-05T08:00:00Z,307,GOA,156.08
2018,2018-04-04T08:00:00Z,307,GOA,283.97
2018,2018-04-05T08:00:00Z,307,GOA,86.21
2018,2018-07-07T08:00:00Z,307,GOA,14.4
2018,2018-07-07T08:00:00Z,307,GOA,33.37
2018,2018-07-07T08:00:00Z,307,GOA,100.09
2018,2018-09-19T08:00:00Z,307,GOA,NA
2018,2018-08-15T08:00:00Z,307,GOA,63.93
2018,2018-09-09T08:00:00Z,307,GOA,NA
2018,2018-09-09T08:00:00Z,307,GOA,NA
2018,2018-09-09T08:00:00Z,307,GOA,NA
2018,2018-06-12T08:00:00Z,307,GOA,7.8
2018,2018-09-17T08:00:00Z,307,GOA,33.3
2018,2018-09-18T08:00:00Z,307,GOA,NA
2018,2018-09-05T08:00:00Z,307,GOA,NA
2018,2018-09-05T08:00:00Z,307,GOA,NA
2018,2018-09-05T08:00:00Z,307,GOA,NA
